S no.,Material_Name,Formula,Category,A,B,C,T_min,T_max,Unit,Source
1,Aluminum,Al,Metals ,18.38,0.0153,111616.9521,298.15,933,J/mol*K,NIST JANAF Thermochemical Tables
2,Iron,Fe,Metals ,6.4319,0.0399,601122.1,298.15,1040,J/mol*K,NIST JANAF Thermochemical Tables
3,Copper,Cu,Metals ,23.736,0.00488,-66676.667,298.15,1350,J/mol*K,NIST JANAF Thermochemical Tables
4,Nickel,Ni,Metals ,32.915,0.002006,-637971.5753,298.15,630,J/mol*K,NIST JANAF Thermochemical Tables
5,Titanium ,Ti,Metals ,26.141628,0.00508664,-215140.7843,298.15,1166,J/mol*K,NIST JANAF Thermochemical Tables
6,Strontium,Sr,Metals ,23.2695,0.01077666,28250.99,298.15,800,J/mol*K,NIST JANAF Thermochemical Tables
7,Zinc,Zn,Metals ,19.8547,0.01399,120837.5679,298.15,692.73,J/mol*K,NIST JANAF Thermochemical Tables
8,Lead,Pb,Metals ,24.487386,0.0082387,-9578.7255,298.15,601,J/mol*K,NIST JANAF Thermochemical Tables
9,Tin,Sn,Metals ,25.75,0.0083,-29000,298.15,505,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
10,Silver,Ag,Metals ,20.152,0.01057,173600,298.15,1000,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
11,Gold,Au,Metals ,23.7,0.00572,0,298.15,1336,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
12,Platinum,Pt,Metals ,23.9,0.0056,0,298.15,1600,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
13,Chromium,Cr,Metals ,23.414,0.0081685,-214750.8392,298.15,2130,J/mol*K,NIST JANAF Thermochemical Tables
14,Cobalt (Alpha),Co,Metals ,22.1888,0.01297,-111646.4622,298.15,700,J/mol*K,NIST JANAF Thermochemical Tables
15,Cobalt (Beta),Co,Metals ,-15.045,0.046,6551071,700,1300,J/mol*K,NIST JANAF Thermochemical Tables
16,Molybdenum,Mo,Metals ,16.3564,0.01183,392975.6434,298.15,2900,J/mol*K,NIST JANAF Thermochemical Tables
17,Tungsten,W,Metals ,13.48956,0.010858,767396.5169,298.15,3700,J/mol*K,NIST JANAF Thermochemical Tables
18,Vanadium,V,Metals ,20.589922,0.0099052,129051.1833,298.15,2200,J/mol*K,NIST JANAF Thermochemical Tables
19,Manganese (Alpha),Mn,Metals ,23.850587,0.01414159,-157154.8978,298.15,980,J/mol*K,NIST JANAF Thermochemical Tables
20,Manganese (Beta),Mn,Metals ,33.518,0.00418,0,980,1300,J/mol*K,NIST JANAF Thermochemical Tables
21,Zirconium (Alpha),Zr,Metals ,21.2777,0.00956387,95359.6029,298.15,1130,J/mol*K,NIST JANAF Thermochemical Tables
22,Zirconium (Beta),Zr,Metals ,9.4033,0.01158956,6846421.836,1130,2120,J/mol*K,NIST JANAF Thermochemical Tables
23,Niobium,Nb,Metals ,23.2579,0.00475,5521.2928,298.15,2750,J/mol*K,NIST JANAF Thermochemical Tables
24,Tantalum,Ta,Metals ,20.471291,0.0062323,304917.2955,298.15,3260,J/mol*K,NIST JANAF Thermochemical Tables
25,Hafnium (Alpha),Hf,Metals ,24.422931,0.00751,-87850.2244,298.15,2000,J/mol*K,NIST JANAF Thermochemical Tables
26,Hafnium (Beta),Hf,Metals ,15.549,0.009,0,2000,2500,J/mol*K,NIST JANAF Thermochemical Tables
27,Rhenium,Re,Metals ,24.06,0.00356,-75000,298.15,2000,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
28,Palladium,Pd,Metals ,24.64,0.00464,-8800,298.15,1828,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
29,ruthenium,Ru,Metals ,23.85,0.00684,-11300,298.15,1500,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
30,iridium,Ir,Metals ,22.72,0.00328,-71000,298.15,2680,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
31,osmium,Os,Metals ,23.4,0.00427,-140000,298.15,2000,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
32,Magnesium,Mg,Metals ,19.58028,0.0135,111609.12,298.15,930,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
33,bismuth,Bi,Metals ,23.64,0.0063,0,298.15,540,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
34,antimony,Sb,Metals ,23.42,0.00895,0,298.15,900,J/mol*K,"Kubaschewski, Alcock & Spencer, Materials Thermochemistry"
35,stainless steel,Fe-18Cr-8Ni,Alloys,23.3,0.0139,0,298.15,1200,J/mol*K,NIST Cryogenic Material Properties Database
36,Plain Carbon Steel ,Fe-0.2C,Alloys,18.9,0.0242,0,298.15,1000,J/mol*K,NIST Cryogenic Material Properties Database
37,Brass,Cu-30zn,Alloys,24.44,0.0082,0,298.15,1200,J/mol*K,NIST Cryogenic Material Properties Database
38,Bronze,Cu-10Sn,Alloys,23.85,0.0076,0,298.15,775,J/mol*K,NIST Cryogenic Material Properties Database
39,Duralumin,Al-4.4Cu-1.5Mg,Alloys,21.3,0.0111,0,298.15,1900,J/mol*K,NIST Cryogenic Material Properties Database
40,Inconel,Ni-22Cr-9Mo-3.5Nb,Alloys,25.6,0.0069,0,298.15,1563,J/mol*K,NIST Cryogenic Material Properties Database
41,Monel,Ni-33Cu,Alloys,24.8,0.0064,0,298.15,1600,J/mol*K,NIST Cryogenic Material Properties Database
42,Invar,Fe-36Ni,Alloys,20.1,0.0152,-20000,298.15,1150,J/mol*K,NIST Cryogenic Material Properties Database
43,Nichrome,Ni-20Cr,Alloys,25.9,0.0056,0,298.15,1670,J/mol*K,MatWeb
